INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechRESSecondaryOutput,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,res.secondary.output,output.ratio
Colombia,electricity,biomass,biomass (IGCC),2025,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2030,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2035,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2040,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2045,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2050,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2055,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2060,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2065,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2070,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2075,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2080,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2085,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2090,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2095,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC),2100,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),1990,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2005,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2010,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2015,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2020,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2025,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2030,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2035,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2040,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2045,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2050,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2055,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2060,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2065,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2070,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2075,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2080,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2085,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2090,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2095,ELEC_RPS,1
Colombia,electricity,biomass,biomass (IGCC CCS),2100,ELEC_RPS,1
