# Efficiencies taken from L144.end_use_eff
region,supplysector,subsector,stub.technology,year,minicam.energy.input,efficiency,market.name
South Asia,comm cooling,electricity,electricity,2015,elect_td_bld,2.4292827,South Asia
South Korea,comm cooling,electricity,electricity,2015,elect_td_bld,2.7939338,South Korea
Southeast Asia,comm cooling,electricity,electricity,2015,elect_td_bld,2.4292827,Southeast Asia
Taiwan,comm cooling,electricity,electricity,2015,elect_td_bld,2.4292827,Taiwan
Argentina,comm cooling,electricity,electricity,2015,elect_td_bld,2.5651377,Argentina
Colombia,comm cooling,electricity,electricity,2015,elect_td_bld,2.5651377,Colombia
Uruguay,comm cooling,electricity,electricity,2015,elect_td_bld,2.5651377,Uruguay
USA,comm cooling,electricity,electricity,2020,elect_td_bld,3.0769629,USA
Africa_Eastern,comm cooling,electricity,electricity,2020,elect_td_bld,2.3749824,Africa_Eastern
Africa_Northern,comm cooling,electricity,electricity,2020,elect_td_bld,2.3749824,Africa_Northern
Africa_Southern,comm cooling,electricity,electricity,2020,elect_td_bld,2.3749824,Africa_Southern
Africa_Western,comm cooling,electricity,electricity,2020,elect_td_bld,2.3749824,Africa_Western
Australia_NZ,comm cooling,electricity,electricity,2020,elect_td_bld,2.9807136,Australia_NZ
Brazil,comm cooling,electricity,electricity,2020,elect_td_bld,2.6705537,Brazil
Canada,comm cooling,electricity,electricity,2020,elect_td_bld,2.9982868,Canada
Central America and Caribbean,comm cooling,electricity,electricity,2020,elect_td_bld,2.6705537,Central America and Caribbean
Central Asia,comm cooling,electricity,electricity,2020,elect_td_bld,2.5584118,Central Asia
China,comm cooling,electricity,electricity,2020,elect_td_bld,2.6012048,China
EU-12,comm cooling,electricity,electricity,2020,elect_td_bld,2.7076499,EU-12
EU-15,comm cooling,electricity,electricity,2020,elect_td_bld,2.9494485,EU-15
Europe_Eastern,comm cooling,electricity,electricity,2020,elect_td_bld,2.5584118,Europe_Eastern
Europe_Non_EU,comm cooling,electricity,electricity,2020,elect_td_bld,2.7076499,Europe_Non_EU
European Free Trade Association,comm cooling,electricity,electricity,2020,elect_td_bld,2.9494485,European Free Trade Association
India,comm cooling,electricity,electricity,2020,elect_td_bld,2.4072083,India
Indonesia,comm cooling,electricity,electricity,2020,elect_td_bld,2.5514369,Indonesia
Japan,comm cooling,electricity,electricity,2020,elect_td_bld,3.0800781,Japan
Mexico,comm cooling,electricity,electricity,2020,elect_td_bld,2.6705537,Mexico
Middle East,comm cooling,electricity,electricity,2020,elect_td_bld,2.6761429,Middle East
Pakistan,comm cooling,electricity,electricity,2020,elect_td_bld,2.5514369,Pakistan
Russia,comm cooling,electricity,electricity,2020,elect_td_bld,2.5584118,Russia
South Africa,comm cooling,electricity,electricity,2020,elect_td_bld,2.3749824,South Africa
South America_Northern,comm cooling,electricity,electricity,2020,elect_td_bld,2.6705537,South America_Northern
South America_Southern,comm cooling,electricity,electricity,2020,elect_td_bld,2.6705537,South America_Southern
South Asia,comm cooling,electricity,electricity,2020,elect_td_bld,2.5514369,South Asia
South Korea,comm cooling,electricity,electricity,2020,elect_td_bld,2.8977506,South Korea
Southeast Asia,comm cooling,electricity,electricity,2020,elect_td_bld,2.5514369,Southeast Asia
Taiwan,comm cooling,electricity,electricity,2020,elect_td_bld,2.5514369,Taiwan
Argentina,comm cooling,electricity,electricity,2020,elect_td_bld,2.6705537,Argentina
Colombia,comm cooling,electricity,electricity,2020,elect_td_bld,2.6705537,Colombia
Uruguay,comm cooling,electricity,electricity,2020,elect_td_bld,2.6705537,Uruguay
USA,comm cooling,electricity,electricity,2025,elect_td_bld,3.1703862,USA
Africa_Eastern,comm cooling,electricity,electricity,2025,elect_td_bld,2.480974,Africa_Eastern
Africa_Northern,comm cooling,electricity,electricity,2025,elect_td_bld,2.480974,Africa_Northern
Africa_Southern,comm cooling,electricity,electricity,2025,elect_td_bld,2.480974,Africa_Southern
Africa_Western,comm cooling,electricity,electricity,2025,elect_td_bld,2.480974,Africa_Western
Australia_NZ,comm cooling,electricity,electricity,2025,elect_td_bld,3.0765591,Australia_NZ
Brazil,comm cooling,electricity,electricity,2025,elect_td_bld,2.775066,Brazil
Canada,comm cooling,electricity,electricity,2025,elect_td_bld,3.0932319,Canada
Central America and Caribbean,comm cooling,electricity,electricity,2025,elect_td_bld,2.775066,Central America and Caribbean
Central Asia,comm cooling,electricity,electricity,2025,elect_td_bld,2.6740249,Central Asia
China,comm cooling,electricity,electricity,2025,elect_td_bld,2.7318834,China
EU-12,comm cooling,electricity,electricity,2025,elect_td_bld,2.8196743,EU-12
EU-15,comm cooling,electricity,electricity,2025,elect_td_bld,3.0460697,EU-15
Europe_Eastern,comm cooling,electricity,electricity,2025,elect_td_bld,2.6740249,Europe_Eastern
Europe_Non_EU,comm cooling,electricity,electricity,2025,elect_td_bld,2.8196743,Europe_Non_EU
